AppNumber,ApplicantType,Institution,OrganizationType,InstCity,InstState,InstPostalCode,InstCountry,CongressionalDistrict,Latitude,Longitude,CouncilDate,YearAwarded,ProjectTitle,Program,Division,ApprovedOutright,ApprovedMatching,AwardOutright,AwardMatching,OriginalAmount,SupplementAmount,BeginGrant,EndGrant,ProjectDesc,ToSupport,PrimaryDiscipline,SupplementCount,Supplements,ParticipantCount,Participants,DisciplineCount,Disciplines
AH-274684-20,1,Missouri Historical Society,Historical Society,St. Louis,MO,63112-1004,USA,1,38.646030,-90.285980,2020-06-01,2020,Virtual Education at the Missouri History Museum and Soldiers Memorial Military Museum,Cooperative Agreements and Special Projects (Education),Education Programs,197268.53,0.00,177297.57,0.00,177297.57,0.00,2020-06-15,2020-12-31,"The Missouri Historical Society requests NEH CARES Grant support of $197,268.53 to retain part-time staff to ensure continued excellence in educational programs as it moves to a digital learning format. NEH support will help maintain our part-time Museum Educators, Production Technicians, and Reservation Assistant by shifting their in-person programs to digital learning.","Continued employment of education staff to develop digital learning resources, museum exhibits, and virtual field trips for K-12 teachers and students.",U.S. History,0,NULL,1,Nicholas Hoffman [Project Director],1,U.S. History
GA-274689-20,1,Kodiak Historical Society,History Museum,Kodiak,AK,99615-6307,USA,1,57.788500,-152.399150,2020-06-01,2020,Erskine House Storytelling Project,Cooperative Agreements and Special Projects (Public Programs),Public Programs,36879.07,0.00,36879.00,0.00,36879.00,0.00,2020-06-15,2020-12-31,"The Kodiak History Museum is a beloved community center and closure of the museum to the COVID-19 pandemic has halted our ability to connect the public with our building and museum objects. This project will support the republication of a rare and treasured Kodiak story, significantly increasing accessibility to the museum’s collection and archives through public programming and digital humanities resources. The project will reinvigorate awareness of the internationally-significant history of the Russian American Magazin/Erskine House, celebrate stories and community connections without the risk of face-to-face interaction during the pandemic, and increase accessibility to the museum.",The retention of four staff members to implement reading and discussion programs about a 100-year-old memoir about the island.,Public History,0,NULL,1,Sarah Harrington [Project Director],1,Public History
PB-274695-20,1,"Museum of the Aleutians, Inc",Anthropology/Archaeology Museum,Unalaska,AK,99685-0648,USA,1,53.871390,-166.541260,2020-06-01,2020,Museum of the Aleutians Digitization Project,Cooperative Agreements and Special Projects (P&A),Preservation and Access,73196.00,0.00,73196.00,0.00,73196.00,0.00,2020-07-15,2020-11-30,"The COVID-19 pandemic has highlighted the importance of a digital presence for the Museum of the Aleutians. Our Museum houses important archaeological, ethnographic, and historic objects, photographs, paper archives, as well as some fine art. This project would allow the Museum to retain staff at pre-COVID-19 levels, to digitize and upload content onto the Alaska Digital Archives (VILDA), and to develop exciting new online exhibition and educational programs. Developing virtual content and an online database will enable us to share our mission with other Alaska museums, cultural centers, historical institutions, academic researchers, students, and the general public interested in the history and culture of the Aleutian Islands to a much greater extent than we currently offer.","The retention of three staff, who would&nbsp;catalog at least 2,000 archaeological, ethnographic, and historic&nbsp;items; digitization&nbsp;and uploading of content; development of online exhibitions&nbsp;and educational programs;&nbsp;and the purchase of supplies.",Archaeology,0,NULL,1,Virginia Hatfield [Project Director],2,Anthropology; Archaeology
AH-274697-20,1,"Museum of Fine Arts, Houston",Art Museum,Houston,TX,77005-1803,USA,18,29.726050,-95.391060,2020-06-01,2020,"Planning for the Future: The Museum of Fine Arts, Houston (MFAH) COVID-19 Response",Cooperative Agreements and Special Projects (Education),Education Programs,175000.00,0.00,175000.00,0.00,175000.00,0.00,2020-06-15,2020-12-31,"The Museum of Fine Arts, Houston (MFAH) closed its doors to the public on March 16 due to the COVID-19 crisis. Despite these difficult times, the Museum remains committed to its mission of public service and is focusing on the future. While the Museum’s operations may look different in the aftermath of the pandemic, the MFAH believes that cultural institutions are places of solace, learning, and resilience. As such, staff members are continuing to work in earnest on installation and interpretation plans for the Museum’s new Nancy and Rich Kinder Building for Modern and Contemporary Art, scheduled to open in November 2020. With 100,000 square feet of new exhibition space, an open-air plaza and amphitheater, and interdisciplinary galleries that provide ample opportunity for humanities-based programming, this new building has the capacity to transform the cultural sector of the entire region by restoring cultural engagement at a critical stage in Houston’s social and economic recovery.",Funding for staff to create installations in and digital experiences about a newly-constructed building dedicated to displaying modern and contemporary art.,Art History and Criticism,0,NULL,1,Cindi Strauss [Project Director],1,Art History and Criticism
AH-274706-20,1,Willamette University,Four-Year College,Salem,OR,97301-3922,USA,5,44.937190,-123.028370,2020-06-01,2020,Ensuring the enduring strength and access to humanities education following COVID-19,Cooperative Agreements and Special Projects (Education),Education Programs,299766.00,0.00,299766.00,0.00,299766.00,0.00,2020-06-15,2021-12-31,"Through a series of new and sustained positions in the humanities, as well as a series of humanities-informed projects and tools, this project will equip Willamette University to maintain and enhance its educational and digital offerings in Fall 2020 and beyond.","Retaining 12&nbsp;humanities positions, all slated for furlough or cancellation, and four humanities consultants&nbsp;to teach fall courses and make the museum accessible to the public.","Interdisciplinary Studies, General",0,NULL,1,Carol Long [Project Director],1,"Interdisciplinary Studies, General"
RJ-274714-20,1,"Aquinas Institute, Inc.",Center For Advanced Study/Research Institute,Green Bay,WI,54302-5259,USA,8,44.499560,-87.945510,2020-06-01,2020,Completion of the online bilingual edition of the Opera Omnia of Thomas Aquinas,Cooperative Agreements and Special Projects (Research),Research Programs,40800.00,0.00,40800.00,0.00,40800.00,0.00,2020-06-15,2020-12-31,"Edit, align and format the remaining texts of Aquinas for online presentation, and present them as a bilingual online edition.",The retention of five positions and the completion of an online bilingual edition of the works of Thomas Aquinas (1225-1274) (Latin-English).,Medieval Studies,0,NULL,1,John Mortensen [Project Director],1,Medieval Studies
GA-274716-20,1,Chicago Architecture Foundation,Non-Profit Educational Center,Chicago,IL,60604-2505,USA,7,41.879230,-87.624370,2020-06-01,2020,Digital Transformation of CAC to Survive and Thrive in a Post-COVID reality,Cooperative Agreements and Special Projects (Public Programs),Public Programs,300000.00,0.00,300000.00,0.00,300000.00,0.00,2020-06-15,2020-12-31,"The Covid-19 pandemic has challenged museums to think creatively about the way we engage our audiences. The Chicago Architecture Center (CAC) quickly introduced new approaches to digitally serving and engaging its audiences, and must now plan for the post-outbreak reality. To this end, CAC proposes a comprehensive plan to digitally transform our work. Over the next 6 months, the CAC will continue to re-calibrate its model for engaging audiences, developing and producing digital tours, programs, lectures, and events. Our proposal covers three principal activities:  1. Expand our existing architecture tour program to include a large virtual component for remote audiences.  2. Develop an app for our popular Open House Chicago program, which will allow us to adapt the festival during this crisis.  3. Create a comprehensive program of online lectures and classes that invite audiences into a rich discussion about architecture, and its intersection with culture and the humanities.",The retention of seventeen staff members to expand the virtual architecture tour program and the creation of online lectures.,Architecture,0,NULL,1,Michael Wood [Project Director],1,Architecture
AH-274719-20,1,Hawaiian Mission Children's Society,History Museum,Honolulu,HI,96813-3002,USA,1,21.304220,-157.856810,2020-06-01,2020,Beyond the Classroom: Virtual Field trips at the Hawaiian Mission Houses,Cooperative Agreements and Special Projects (Education),Education Programs,215568.00,0.00,198642.00,0.00,198642.00,0.00,2020-06-15,2020-12-31,"Using virtual live streaming and online learning platforms, Hawaiian Mission Houses will continue to offer cultural-based field trips to teach students about life in the 19th century, compare cultural values, and learn how people with differing beliefs and backgrounds worked together to improve life, build community, and developed education.",The continued employment of eight museum educators to create virtual field trips and curricular resources for K-12 students.,Cultural History,0,NULL,1,Elizabeth Pooloa [Project Director],1,Cultural History
GA-274740-20,1,Las Vegas Natural History Museum,Natural History Museum,Las Vegas,NV,89101-1112,USA,1,36.179930,-115.133820,2020-06-01,2020,Enhancing Humanities Understanding Through Virtual Learning & Museum Programs at Las Vegas Natural History Museum,Cooperative Agreements and Special Projects (Public Programs),Public Programs,32107.00,0.00,32106.56,0.00,32106.56,0.00,2020-07-01,2021-01-31,"Ensuring public access to educational resources has been Las Vegas Natural History Museum's focus since opening in 1991. When COVID-19 forced the Museum to close March 17, it shifted focus on creating free online educational resources. Enhancing Humanities Understanding Through Virtual Learning & Museum Programs will continue the Museum's effort to educate in the changing COVID-19 world. During the requested grant (July 1-Dec. 31, 2020), the Museum will: 1) Create 52 free online presentations covering multiple humanities topics; 2) Introduce a new exhibit featuring new archaeological discoveries in Nevada, which were preserved and curated by the Museum; 3) Present two in-Museum Humanities programs - Living History presentations and December to Remember Cultural Traditions - and complementary virtual learning components; and 4) Promote the Museum's Humanities educational resources. The grant will support a portion of salary for 4 staff & 2 Living History presenters.",The retention of six staff to develop online programming and on-site programs for re-opening.&nbsp;,Cultural History,0,NULL,2,Grace Njoroge [Project Director]; Ellen  Israel [Project Director],1,Cultural History
GA-274742-20,1,Greenwood Community Development Corporation,Historical Site/House,Tulsa,OK,74120-1444,USA,1,36.160250,-95.985820,2020-06-01,2020,Cultural Programming on Greenwood  led by the (GCDC),Cooperative Agreements and Special Projects (Public Programs),Public Programs,30000.00,0.00,28600.00,0.00,28600.00,0.00,2020-07-01,2020-12-31,"The grant applicant, the Greenwood Community Development Corporation,  manages a historic site that is temporarily closed due to the coronavirus pandemic.  The GCDC needs to sanitize spaces so that, when social distancing ends, the site is ready to welcome visitors who desire to learn Greenwood’s history. The GCDC has a mission to preserve Greenwood’s history and focus on the successes of black entrepreneurs in the Greenwood District before and after the race massacre in 1921.  The essence of the project is to sanitize all spaces, prepare a new exhibit,on-site & virtual tour, minor alteration  of the visitor center & interpretation site, and create plaques/posters for the business owners that thrived after the massacre. The project start date is Wednesday, July 1,2020.  The end date is Thursday, December 31, 2020.",The addition of five staff members to re-open a historic site focused on the Tulsa Race Massacre of 1921.,African American History,0,NULL,1,Larry Tease [Project Director],3,African American History; African American Studies; Architecture
AH-274748-20,1,Papahana Kuaola,Non-Profit Educational Center,Kaneohe,HI,96744-9176,USA,2,21.421770,-157.808600,2020-06-01,2020,Project Huli Honua,Cooperative Agreements and Special Projects (Education),Education Programs,192255.00,0.00,192255.00,0.00,192255.00,0.00,2020-07-01,2020-12-31,"Project Huli Honua will address the needs of students, parents, and teachers as we navigate through a new normal. Online Hawaiian cultural, historical, and place- based units will be developed focusing on the geology of Hawai‘i in order to perpetuate traditional Hawaiian knowledge and methodologies through various digital platforms. This project supports formal classroom teachers with a comprehensive standards-based curriculum as an online resource that is easily accessible to students through Google Classrooms and various distance learning alternatives.","Retention of eight staff positions to develop an online curriculum, teacher training, and a family engagement program based on Native Hawaiian storytelling, oral history, and geography.",Cultural History,0,NULL,1,Mahealani Merryman [Project Director],3,"Cultural Anthropology; Cultural History; Literature, Other"
GA-274757-20,1,Willa Cather Foundation,University,Red Cloud,NE,68970-2466,USA,3,40.089460,-98.519390,2020-06-01,2020,Willa Cather Foundation CARES: Virtual Program Delivery and Phased Re-Opening,Cooperative Agreements and Special Projects (Public Programs),Public Programs,134060.00,0.00,134060.00,0.00,134060.00,0.00,2020-06-15,2020-12-31,"This project enables the National Willa Cather Center to prepare for a phased re-opening and to adapt program delivery through virtual tours, self-guided audio tours, and online exhibits of collection materials.","The retention of five staff positions to create new online virtual tours, increase digital accessibility to collections, and erect new outdoor interpretation spaces.",American Studies,0,NULL,1,Tracy Tucker [Project Director],3,American Literature; American Studies; Public History
PB-274766-20,1,Delaware Nation,Indian Tribal Organization,Anadarko,OK,73005-0825,USA,3,35.101650,-98.342890,2020-06-01,2020,Delaware Nation Joan Sobieta Memorial Library Public Computer Access Project,Cooperative Agreements and Special Projects (P&A),Preservation and Access,30000.00,0.00,30000.00,0.00,30000.00,0.00,2020-06-15,2020-12-31,The Delaware Nation Joan Sobieta Memorial Library maintains a public access library that is open 5 days a week from 8am-5pm. We strive to meet the needs of the Delaware Nation and surrounding community with access to resources and services free of charge. These resources include access to public computers.,No to support statement,Native American Studies,0,NULL,1,Erin Paden [Project Director],1,Native American Studies
PB-274775-20,1,Association for Cultural Equity,Archive,New York,NY,10036-6807,USA,10,40.758480,-73.994900,2020-06-01,2020,Updating and upgrading the online Alan Lomax Archive,Cooperative Agreements and Special Projects (P&A),Preservation and Access,57178.00,0.00,57178.00,0.00,57178.00,0.00,2020-06-15,2021-03-31,"We will update and upgrade Association for Cultural Equity's online Alan Lomax Archive to a new, stable platform, allowing for continued and enhanced public access to the thousands of recordings therein, while improving the existing content by finalizing corrections to our existing metadata, and creating a special digital exhibit at its launch around the themes of hardship, resilience, and transcendence.",The retention of two staff positions at the Association for Cultural Equity and the hiring of additional consultants and services to update and upgrade the online Alan Lomax Archive as well as produce a virtual exhibit entitled “Trouble Won’t Last Always.”&nbsp;,"Interdisciplinary Studies, General",0,NULL,1,Nathan Salsburg [Project Director],1,"Interdisciplinary Studies, General"
AH-274779-20,1,Maryville College,Four-Year College,Maryville,TN,37804-5919,USA,2,35.754950,-83.964510,2020-06-01,2020,Maryville College Maintaining Humanities: Transitioning Online,Cooperative Agreements and Special Projects (Education),Education Programs,82519.00,0.00,82519.00,0.00,82519.00,0.00,2020-06-15,2021-01-31,"Maryville College (MC), a small liberal arts college serving approximately 1,150 students in the Appalachian part of Tennessee, seeks resources to support three objectives: 1) assist with retention of 1 full-time or 8 contingent Humanities positions during the crisis, 2) training for 20 full-time and 16 contingent faculty in online teaching in the Humanities, and 3) creation of curated online content resources for teaching Humanities at the college and high school levels.",The retention of up to five contingent humanities positions and the development of online humanities resources.,"Interdisciplinary Studies, General",0,NULL,1,Heather McMahon [Project Director],1,"Interdisciplinary Studies, General"
GA-274783-20,1,University of Pennsylvania,University,Philadelphia,PA,19104-6205,USA,3,39.952980,-75.192760,2020-06-01,2020,NEH CARES: Penn Museum Public Programs and Exhibitions,Cooperative Agreements and Special Projects (Public Programs),Public Programs,215000.00,0.00,215000.00,0.00,215000.00,0.00,2020-06-15,2020-12-31,"Funds from the NEH CARES: Cultural Organizations grant program will support the Penn Museum''s public engagement through programming and exhibitions. The grant activities will provide new digital platforms for our scholars to share their humanities research with the public. By supporting these at-risk programs and projects, this grant will enable the Penn Museum to engage audiences and encourage visitation once the Museum is reopened, contributing to the long-term viability of the Museum.",Development and dissemination of online public programming delivering interpretation of Penn Museum collections and exhibitions.,Archaeology,0,NULL,1,Ellen Owens [Project Director],1,Archaeology
AH-274795-20,1,City of Hastings,General Museum,Hastings,NE,68901-3062,USA,3,40.599430,-98.391980,2020-06-01,2020,Hastings Museum Staff Retention Initiative and Second Floor Comprehensive Exhibit Plan,Cooperative Agreements and Special Projects (Education),Education Programs,123027.00,0.00,123027.00,0.00,123027.00,0.00,2020-06-15,2020-10-31,"Retain five key staff members during a critical phase of an intense, ongoing project to renovate the second floor of the Museum. During this key window of time, Museum staff will closely collaborate with an external design firm and develop a Comprehensive Exhibit Plan for the entire top floor of the Museum—approximately half of the Museum’s overall exhibition space, 17,000 square feet. This project will simultaneously: 1) Determine what stories we are best equipped to tell by conducting an updated collections inventory; 2) Specify where physically exhibits would go and how stories could flow into each other and complement one another; 3) Consider structural strengths and limitations of the physical space including plumbing, electrical, and sight lines; 4) Plan the best way to relocate and update a popular permanent exhibit to the top floor; and 5) Define the elements of a new permanent exhibit to tell the story of Nebraska’s Naval Ammunition Depot and the people it profoundly affected.",Continued employment of five staff members who will develop a comprehensive exhibit plan for the museum’s renovated second floor.,Cultural History,0,NULL,1,Rebecca Matticks [Project Director],3,Cultural History; Public History; U.S. History
AH-274802-20,1,University of West Alabama,Four-Year College,Livingston,AL,35470-2098,USA,7,32.514440,-88.154320,2020-06-01,2020,"Respect the Past, Create the Future within the Black Belt Region of Alabama",Cooperative Agreements and Special Projects (Education),Education Programs,165000.00,0.00,165000.00,0.00,165000.00,0.00,2020-06-15,2020-12-31,"RPCF proposes converting all programming materials from the Black Belt Museum to an online platform in order to meet our audience where they are located. In the next month, we plan to have a new website fully operational where lesson plans, videos, and objects from the museum’s collection can be posted as primary resources for teachers and newly minted COVID-19 homeschooling parents can access free augmented curriculum.",No to support statement,"Interdisciplinary Studies, General",0,NULL,1,Jan Miller [Project Director],1,"Interdisciplinary Studies, General"
HC-274803-20,1,University of North Dakota,University,Grand Forks,ND,58202-6059,USA,1,47.921890,-97.070830,2020-06-01,2020,Strengthening North Dakota’s Humanities Infrastructure,Cooperative Agreements and Special Projects (Digital Humanities),Digital Humanities,265875.00,0.00,265875.00,0.00,265875.00,0.00,2020-06-15,2021-05-31,"Funds from this project will enable the retraining and rehiring of humanities instructors/staff directly impacted by the financial repercussions of the pandemic. As Digital Humanities Specialists, these contingent faculty will restore functionality to out-of-date websites, as well as expand digital collections for historical and educational purposes, specifically the papers of the infamous Senator William ""Wild Bill"" Langer, government documents related to Indigenous Nations of the Upper Plains, selections from the Nuremberg trial transcripts, and a large bygdebøker collection. They will also facilitate the creation of freely available teaching resources for grades 6-12, in line with the NEH’s special initiative to help create “a more perfect union.”",The retraining and hiring of eight humanities instructors and librarians&nbsp;to build digital collections and&nbsp;design&nbsp;teaching resources relating to regional and global history.&nbsp;,American Studies,0,NULL,1,Crystal Alberts [Project Director],1,American Studies
PB-274804-20,1,Council of State Archivists,National Organization,Frankfort,KY,40602-1583,USA,6,38.234130,-84.874800,2020-06-01,2020,Council of State Archivists' CARES Project,Cooperative Agreements and Special Projects (P&A),Preservation and Access,41000.00,0.00,41000.00,0.00,41000.00,0.00,2020-06-15,2020-12-31,"he Council of State Archivists (CoSA) proposes to continue and expand CoSA’s programming to support state archivists in preserving and providing access to cultural heritage materials. Due to anticipated lost income because of COVID-19. CoSA would have to reduce or eliminate three consultants who coordinate training and collaboration for state archives. With grant funds, CoSA’s consultants will continue and expand webinar offerings and best practices guidance documents on managing culturally significant records. CoSA will also enhance programming by experimenting with new content and information delivery systems, such as video platforms, podcasts, and online community forums, to support its members and wider audiences as they confront new challenges in preserving and providing access to government records. CoSA plans to use these collaborations to formulate and share best practices in offering access to cultural heritage materials and in health considerations for staff and researchers.",The retention of three consultants&nbsp;to continue and&nbsp;expand&nbsp;webinars and&nbsp;best practice guidance&nbsp;that support&nbsp;state archivists in preserving and providing access to cultural heritage materials.&nbsp;The Council of State Archivists (CoSA) would also experiment with new technology and services to enhance their services to the community of national state and local archivists.&nbsp;,"Interdisciplinary Studies, General",0,NULL,1,Barbara Teague [Project Director],2,"Interdisciplinary Studies, General; U.S. History"
AH-274820-20,1,"Long Island Museum of American Art, History, and Carriages",General Museum,Stony Brook,NY,11790-1931,USA,1,40.913350,-73.138130,2020-06-01,2020,LIM Connects: A Superhighway to Museum Learning Inside Your Classroom,Cooperative Agreements and Special Projects (Education),Education Programs,59713.00,0.00,59713.00,0.00,59713.00,0.00,2020-08-01,2020-12-31,"The Long Island Museum seeks NEH support to extend its shared educational programming and unique learning opportunities through improved technology to schools unable to travel to the Museum this fall due to the continuing impact of the COVID-19 pandemic. Recognizing the amazingly unique place that art- and artifact-based inquiry has in igniting student's curiosity and interest, we are working to bring LIM's collections into classrooms remotely. This project includes the installation of critical technological improvements on-site in our historic buildings and galleries, in order to bring a full slate of unique learning opportunities to school districts of all sizes, student backgrounds, and income levels. The project keeps our talented group of educators employed and working through this new initiative. It will build new bridges to schools that will outlast the pandemic and diversify our offerings – both for regular on-site trips and for expanded distance learning – into the future.",Continued employment of museum educators to enhance and expand virtual learning opportunities for K-12 students.,"History, Other",0,NULL,1,Joshua Ruff [Project Director],2,"Arts, Other; History, Other"
AH-274828-20,1,Santa Barbara Trust for Historic Preservation,Historical Society,Santa Barbara,CA,93102-0388,USA,24,34.421660,-119.698720,2020-06-01,2020,Santa Barbara Trust for Historic Preservation: Retaining Staff to Deliver Educational Program During COVID-19,Cooperative Agreements and Special Projects (Education),Education Programs,29634.00,0.00,27829.12,0.00,27829.12,0.00,2020-08-15,2020-11-30,"The Santa Barbara Trust for Historic Preservation (SBTHP) will launch a digital version of our successfully piloted education program for 400+ junior high school students called Where We Are From in fall 2020. This program uses the resources at El Presidio de Santa Bárbara State Historic Park to meet seventh grade standards in English and History. To make it adaptable for distance learning circumstances due to COVID-19, we will increase the digital and virtual offerings of the program. Students will actively engage in interactive stations focused on autobiography, mapping, poetry, primary sources, and historical narrative. Students will create and present works highlighting their recent classroom projects and field trips. The program demonstrates that these issues can be explored safely and with complexity with a historical lens, and can improve student engagement in the learning process.","Four full-time staff and additional part-time staff responsible for developing a virtual version of a popular interdisciplinary, place-based curriculum for junior high students.",Cultural History,0,NULL,1,Anne Petersen [Project Director],3,Cultural History; Ethnic Studies; Immigration History
AH-274838-20,1,Roberts Wesleyan College,Four-Year College,Rochester,NY,14624-1997,USA,25,43.131250,-77.810040,2020-06-01,2020,Roberts Wesleyan College A.S. Arts & Culture,Cooperative Agreements and Special Projects (Education),Education Programs,73046.00,0.00,72682.00,0.00,72682.00,0.00,2020-06-15,2020-12-31,"The Roberts Wesleyan College A.S. Arts and Culture project seeks funding to enable our new Associate of Science in Arts & Culture to stay on track to be offered in Fall 2020. The degree represents our first Associate's Degree and is the first of its kind in New York State to combine the study and application of arts and culture on an associate's level and be fully accessible to working adults as a fully online, reduced rate evening program. Funding would preserve the Project Director position and partial FTE of two related positions supporting the online delivery of instruction.","The retention of three faculty and administrative positions, to ensure the continuation of the associate degree program in Arts and Culture.","Interdisciplinary Studies, General",0,NULL,1,David Basinger [Project Director],1,"Interdisciplinary Studies, General"
PB-274845-20,1,Wyck Association,Historical Site/House,Philadelphia,PA,19144-2112,USA,3,40.039390,-75.178300,2020-06-01,2020,Our Germantown Stories: Building Community Through Innovative Digital Archiving Work,Cooperative Agreements and Special Projects (P&A),Preservation and Access,18586.00,0.00,17254.76,0.00,17254.76,0.00,2020-07-01,2021-02-28,"Our Germantown Stories: Building Community through Innovative Digital Archiving at Wyck centers on the idea that artifacts gain meaning by invoking stories that resonate with their audiences. Wyck is home to 10,000+ objects, each of which belonged to the family who inhabited Wyck for 300 years. These objects allow Wyck to tell compelling and immersive stories about the history of daily life in Germantown. Through this project, we seek to engage our community with the rich collections and deepen their appreciation for the site. In addition to digitizing parts of Wyck’s collection, Our Germantown Stories will culminate with an online exhibit featuring objects from the community alongside museum artifacts. The exhibit will change and grow as community members submit content. Wyck will use community submissions to knit together larger narratives, breathing new life into Wyck’s collections and helping neighbors feel more connected to their own history and the history of the site.",The retention of two positions and the hiring of a contractor to enable the digitization and online display of materials documenting Quaker family life in Philadelphia from the eighteenth to the twentieth centuries.,U.S. History,0,NULL,1,Tess Frydman [Project Director],2,U.S. History; Urban History
AH-274864-20,1,"CUNY Research Foundation, Graduate School and University Center",Center For Advanced Study/Research Institute,New York,NY,10016-4309,USA,12,40.748790,-73.984180,2020-06-01,2020,Institute For Language Education in Transcultural Context,Cooperative Agreements and Special Projects (Education),Education Programs,42060.00,0.00,42060.00,0.00,42060.00,0.00,2020-07-01,2020-12-31,Support and promote the teaching and learning of languages at CUNY in the context of New York City’s multilingual communities,A&nbsp;position that&nbsp;reinforces&nbsp;faculty research&nbsp;and teaching of world languages&nbsp;and literatures&nbsp;throughout the&nbsp;City University of New York (CUNY) system.,"Languages, General",0,NULL,1,Alberta Gatti [Project Director],2,"Languages, General; Literature, General"
AH-274867-20,1,Seward House Museum,Four-Year College,Auburn,NY,13021-3929,USA,24,42.928570,-76.566190,2020-06-01,2020,Sustaining Museum Educators during a Global Pandemic,Cooperative Agreements and Special Projects (Education),Education Programs,46532.25,0.00,46532.00,0.00,46532.00,0.00,2020-07-01,2020-12-31,"The Seward House Museum is seeking NEH CARES funding in order to maintain two mission critical staff positions in our education department, the Director of Education, and the Education and Outreach Coordinator. Since staff is the foundation of our operations, their knowledge, creativity, and commitment are instrumental as we confront the COVID-19 crisis. The education department has been and will continue to develop digital and on-line content which will have a long-lasting impact. In fact, they have already increased their efforts to digitize materials and curate them in new ways, increasing accessibility to diverse stay-at-home audiences during this time of isolation. NEH funding now would sustain these key education positions and allow the Museum to provide innovative approaches to the humanities as a whole as we continue to promote excellence in leadership, fiduciary responsibility, and provide programming that reaches wide and diverse audiences during this extraordinary time.",Retention of the only two full-time education positions currently staffed at the Seward House Museum for the development of digital learning materials and expanded public access to digital archives.,"History, General",0,NULL,1,Jeffrey Ludwig [Project Director],1,"History, General"
GA-274873-20,1,Columbia Art Association,Art Museum,Columbia,SC,29202-2068,USA,6,33.993550,-81.031010,2020-06-01,2020,Visions from India: 21st-Century Art from the Pizzuti Collection,Cooperative Agreements and Special Projects (Public Programs),Public Programs,150000.00,0.00,150000.00,0.00,150000.00,0.00,2020-07-01,2020-12-31,"The Columbia Museum of Art (CMA) celebrates outstanding artistic creativity through its collection, exhibitions, and programs, interacting in ways that engage the mind and enrich the spirit. This fall, the CMA will present “Visions from India: 21st-Century Art from the Pizzuti Collection”, a special exhibition exploring the recent history of Indian art and culture. “Visions from India” will be a particularly rare and spectacular opportunity for Columbia, South Carolina, which has a large and deeply engaged population of Indian Americans. The museum is eager to showcase this special exhibition for diverse audiences, and believes it will make an important impact on the community, state, and nation. Enriching public programming is intended to be multivalent and to build partnerships with other local cultural and academic institutions. The CMA seeks support for exhibition-related activities that require retaining humanities staff to maintain and adapt critical public programs.","Staff salaries for the staging of an October 2020 exhibition on the arts and culture of twenty-first-century India, and implementation of related programs.","History, Criticism, and Theory of the Arts",0,NULL,1,Joelle Ryan-Cook [Project Director],3,"History, Criticism, and Theory of the Arts; South Asian History; South Asian Studies"
AH-274885-20,1,Misericordia University,University,Dallas,PA,18612-7752,USA,8,41.349920,-75.971640,2020-06-01,2020,Humanities in the Time of COVID-19: Fostering Community Dialogue,Cooperative Agreements and Special Projects (Education),Education Programs,263566.75,0.00,256413.00,0.00,256413.00,0.00,2020-06-15,2021-05-31,"Misericordia University will foster discourse regarding the pandemic and its impact on local, national, and global societies from the perspective of the humanities by reinstating four furloughed staff and developing new initiatives that further public conversations about the necessity of the humanities regarding health and society. Additionally, the grant will strengthen online teaching within the humanities as we prepare for the unknowns of the upcoming academic year. Funding will also support dialog with the broader community though online lectures by faculty and a podcast hosted by the Medical and Health Humanities program.  Finally, the grant will support the development of Continuing Medical Education courses that are informed by humanities’ perspectives and ways of knowing.","Salaries for four furloughed employees, stipends for faculty to develop online instructional material, and the purchase of equipment for online instruction.","Interdisciplinary Studies, General",0,NULL,1,Heidi Manning [Project Director],3,"Arts, General; History and Philosophy of Science, Technology, and Medicine; Interdisciplinary Studies, General"
GA-274904-20,1,Virginia Museum of Fine Arts,Art Museum,Richmond,VA,23220-4007,USA,4,37.555470,-77.474250,2020-06-01,2020,Virginia Museum of Fine Arts - NEH CARES Act,Cooperative Agreements and Special Projects (Public Programs),Public Programs,299627.00,0.00,299627.00,0.00,299627.00,0.00,2020-06-15,2020-12-31,"VMFA requests funding from the NEH CARES: Cultural Organizations program to support 6.5 months of funding for the museum as it works to respond to the COVID-19 crisis. Funding from the NEH will serve to support the museum’s capacity to deliver digital content to its members, donors, and the general public while the museum is closed, and to prepare new digital content for future needs – both for strategic communications purposes and in case of re-closure due to the reemergence of the virus. VMFA will pursue several strategies to sustain engagement with the public through digital resources tailored for a variety of audiences. Examples of digital content being created include: guided, online explorations of VMFA’s permanent collection, weekly emails providing educational resources and content featuring humanities themes, online art history classes, Zoom meetings with curators, etc. Funds will be used to retain 19 staff critical to delivering digital content and to rehire one position.",The retention of eighteen employees to develop and produce digital content for distance learning programs.,"Arts, General",0,NULL,1,Celeste Fetta [Project Director],1,"Arts, General"
